1	20	9	491	0	2	2	0	0	1	0	25	0.17	0.03	0.17	0	0	0	0.05	4
2	44	9	146	0	13	1	0	0	0.08	0.15	1	0	0.6	0.88	0	0	0	0	4
1	49	5	0	0	123	6	1	1	0.05	0.07	26	0.1	0.05	0	0	1	1	0	0
1	24	9	232	8153	5	5	0.2	0.2	1	0	255	1	0	0.03	0.04	0.03	0.01	0	4
1	24	9	199	420	30	32	0	0	1	0	255	1	0	0	0	0	0	0	4
1	49	1	0	0	121	19	0	0	0.16	0.06	19	0.07	0.07	0	0	0	0	1	0
1	49	5	0	0	166	9	1	1	0.05	0.06	9	0.04	0.05	0	0	1	1	0	0
1	49	5	0	0	117	16	1	1	0.14	0.06	15	0.06	0.07	0	0	1	1	0	0
1	51	5	0	0	270	23	1	1	0.09	0.05	23	0.09	0.05	0	0	1	1	0	0
1	49	5	0	0	133	8	1	1	0.06	0.06	13	0.05	0.06	0	0	1	1	0	0
1	49	1	0	0	205	12	0	0	0.06	0.06	12	0.05	0.07	0	0	0	0	1	0
1	49	5	0	0	199	3	1	1	0.02	0.06	13	0.05	0.07	0	0	1	1	0	0
1	24	9	287	2251	3	7	0	0	1	0	219	1	0	0.12	0.03	0	0	0	4
1	20	9	334	0	2	2	0	0	1	0	20	1	0	1	0.2	0	0	0	2
1	36	5	0	0	233	1	1	1	0	0.06	1	0	0.07	0	0	1	1	0	0
1	38	5	0	0	96	16	1	1	0.17	0.05	2	0.01	0.06	0	0	1	1	0	0
1	24	9	300	13788	8	9	0	0.11	1	0	255	1	0	0.01	0.02	0	0	0	4
0	14	9	18	0	1	1	0	0	1	0	16	1	0	1	1	0	0	0	1
1	24	9	233	616	3	3	0	0	1	0	255	1	0	0.02	0.03	0	0	0.02	4
1	24	9	343	1178	9	10	0	0	1	0	255	1	0	0.01	0.04	0	0	0	4
1	35	5	0	0	223	23	1	1	0.1	0.05	23	0.09	0.05	0	0	1	1	0	0
1	20	9	0	5696	1	1	0	0	1	0	81	1	0	1	0.02	0	0	0	3
1	67	10	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1
1	20	9	0	5828	2	2	0	0	1	0	2	1	0	1	0	0	0	0	3
